ID;LINK_FOTO;ID_FOTO
0170810924772574;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4407979E5;K4407979E5
0292834654421299;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4451641E6;K4451641E6
0661209395751558;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4730691T5;K4730691T5
1437087614639311;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4802285E4;K4802285E4
1668285987305521;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4800366D5;K4800366D5
2020742498984612;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4713834D5;K4713834D5
2227139061867181;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4299213J6;K4299213J6
2266112154431321;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4779594T3;K4779594T3
2585330510002189;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4728789P4;K4728789P4
2688436056239402;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K8150018Z1;K8150018Z1
2848812662814026;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4483549D2;K4483549D2
2860179178643956;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4723298A4;K4723298A4
2864843574433034;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4127218E1;K4127218E1
4026715152001626;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4437276Y0;K4437276Y0
4063985480147162;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K2004587A6;K2004587A6
4083960867428854;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4137780P7;K4137780P7
4130787400995997;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4744340J5;K4744340J5
4247276247749935;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4337558A5;K4337558A5
4482870742031147;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4443431U4;K4443431U4
4600154820027807;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4751843E6;K4751843E6
4671444108825248;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4480048U9;K4480048U9
5502129635422495;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4771860U9;K4771860U9
5984672774577439;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4474847Y5;K4474847Y5
6096599677518899;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K8075474T5;K8075474T5
6872717162309834;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4262896H6;K4262896H6
6953578838978396;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4130614Z2;K4130614Z2
7181115937433821;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4559842J7;K4559842J7
7482509894855417;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4703621D8;K4703621D8
7703927782935094;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4409070U5;K4409070U5
7751742904886118;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4770776Z3;K4770776Z3
8130370622150343;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4713875Z6;K4713875Z6
8417190478657621;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4559672J7;K4559672J7
8646633997201802;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K8310737P7;K8310737P7
8810916520087214;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4352719Y6;K4352719Y6
8869553181466970;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4268421P9;K4268421P9
8924508898024445;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4480695U8;K4480695U8
9070111459228197;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K8374609D8;K8374609D8
9092296814446576;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4207060Z1;K4207060Z1
9108499010275081;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4550204D3;K4550204D3
9416668271579542;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4363642D2;K4363642D2
9652541311039940;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4701822A9;K4701822A9
3564706302936545;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4898617T5;K4898617T5
7340105957340705;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4708323H0;K4708323H0
1229329519982110;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4702483U8;K4702483U8
9850033081267802;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4251003E6;K4251003E6
9047298948861003;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4416860H6;K4416860H6
5452734249403936;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4792038A7;K4792038A7
5680475427208141;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4768031U8;K4768031U8
4980687835840176;http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4227249A8;K4227249A8
